,mean_exp,exp_both,exp_U
0,0.1837123380818998,389,535
1,0.1931456138086327,381,538
2,0.1939485330967465,398,532
3,0.1751199300082203,373,524
4,0.1863109064977852,386,535
5,0.1956420593641571,391,535
6,0.1909795406647532,388,543
7,0.1842342819209029,372,532
8,0.1891086925404615,368,529
9,0.1856968660940523,392,528
10,0.2003674319550585,390,539
11,0.2189002670023312,388,525
12,0.1744604746341505,380,532
13,0.1844062475111751,389,544
14,0.191784986071008,388,540
15,0.1838241614546653,374,528
16,0.1854995238264036,407,538
17,0.1899342441606466,385,535
18,0.1908004011567481,406,534
19,0.195541056841819,384,521
20,0.1902406013430853,385,534
21,0.1829379400016445,383,533
22,0.1744311525666323,374,532
23,0.2021611413939242,385,540
24,0.189385498827012,378,530
25,0.1826880622149259,380,533
26,0.2030263136116799,392,533
27,0.1866163440156653,386,531
28,0.1884451996684277,385,542
29,0.1878515337328487,386,532
30,0.1913316935086269,382,537
31,0.192088136204911,404,536
32,0.1821241929381849,383,536
33,0.174147449518197,379,534
34,0.1832512630478451,374,536
35,0.1879297828181416,373,535
36,0.1753960662040721,385,535
37,0.1928759660499621,389,535
38,0.1793215275740103,378,536
39,0.1835162414270136,394,535
40,0.1888543161271079,379,535
41,0.187708310177984,397,534
42,0.1891681488720433,393,539
43,0.1763847327710939,387,536
44,0.2174896131201634,390,541
45,0.1956599750807534,392,541
46,0.1880630468704782,391,545
47,0.1831630996274712,395,535
48,0.2045624322331279,405,536
49,0.1820179226291126,395,532
50,0.194027592728327,397,541
51,0.2044880167529333,403,539
52,0.1891300564154442,373,540
53,0.2066148172427556,404,538
54,0.1897617128284708,384,526
55,0.1856446471634476,389,532
56,0.187500210630856,374,533
57,0.1880054290491569,391,535
58,0.182920977661721,402,536
59,0.1886178755346736,399,531
60,0.1993898195408114,415,544
61,0.1811478887078269,388,538
62,0.185937835167199,370,534
63,0.1905526225652247,397,536
64,0.1825049541304293,400,544
65,0.1829214463239289,370,532
66,0.1767373955407047,390,536
67,0.1827827861295906,380,531
68,0.1971447769562943,376,538
69,0.1981443969654661,386,536
70,0.1974654530950091,397,533
71,0.1853166661271807,386,532
72,0.2001437868985068,384,529
73,0.1972799830593576,389,534
74,0.1829663583904703,373,539
75,0.1854911888535176,381,538
76,0.1877838173844674,385,529
77,0.1935691435133518,386,537
78,0.1734224211731521,371,530
79,0.1844936728977039,390,536
80,0.1826341745581138,389,539
81,0.1876371891403231,382,544
82,0.1897984951678394,402,533
83,0.2136311226488893,389,539
84,0.1876341203677756,377,538
85,0.1763909342315194,382,530
86,0.1915519271018633,392,533
87,0.2038692502553823,397,534
88,0.1826140453967089,383,529
89,0.198118275512833,398,541
90,0.1774534088538705,368,530
91,0.1810423804423298,373,534
92,0.1915658724707853,384,541
93,0.199607694231152,408,541
94,0.1827189931733498,389,537
95,0.1822549642138262,387,538
96,0.1952413742161101,398,534
97,0.1970640297393384,395,544
98,0.1974526402691165,405,532
99,0.1922565184442658,374,521
100,0.2102861435876137,389,531
101,0.1900956016072977,398,531
102,0.1874163527159569,374,536
103,0.1960903293625419,381,531
104,0.1876194305645286,384,533
105,0.1908701372745141,399,546
106,0.1902686659679931,386,524
107,0.1733511122778034,397,540
108,0.1930278398054689,381,537
109,0.1737604235585984,371,534
110,0.18448940720889,396,535
111,0.1609961397213902,368,541
112,0.1859324688280231,395,542
113,0.1773620119789465,363,524
114,0.190364599177378,391,536
115,0.1929082664438798,393,539
116,0.1989693635392654,383,530
117,0.1994949213530579,399,539
118,0.1831076722029325,387,537
119,0.192634712377523,379,528
120,0.2147275281244561,400,538
121,0.1843743826728701,382,535
122,0.2096072116414648,396,531
123,0.1937755922560997,388,530
124,0.196826812514773,393,541
125,0.1877883832033832,386,537
