,mean_exp,exp_both,exp_U
0,0.0856428487703353,261,539
1,0.0976841844557536,307,544
2,0.0870187932983948,296,541
3,0.0991935729603011,287,551
4,0.0918730527832072,293,549
5,0.096970959116902,268,538
6,0.0682316340859133,261,539
7,0.0937129933977997,254,538
8,0.0862033168241326,294,539
9,0.0868292484303926,299,538
10,0.0878955721238438,265,537
11,0.0813687704580451,259,538
12,0.0828892300978581,260,523
13,0.0934416944785423,275,541
14,0.0918702631180847,283,549
15,0.0880501234801932,260,531
16,0.0920220556558479,295,545
17,0.0866889615513847,273,545
18,0.0889077926952547,274,539
19,0.089857518580363,283,545
20,0.0941687499838554,271,543
21,0.0877632917203621,277,548
22,0.0998184920194706,300,538
23,0.109113264499164,294,535
24,0.0974133412240106,285,532
25,0.0954939274793765,288,543
26,0.0811323363782663,278,539
27,0.0847999150085717,270,540
28,0.1004756391907774,297,546
29,0.0829825197756848,263,542
30,0.0858949352882595,280,537
31,0.0867313786178004,272,535
32,0.0907408820481595,276,537
33,0.0872363835839585,274,542
34,0.1167780555587813,277,534
35,0.0771880265258087,270,542
36,0.0830318660515959,253,531
37,0.0909462154613131,281,538
38,0.0942681600392501,273,535
39,0.0905100511529829,278,533
40,0.098808741872663,286,545
41,0.0860345511133522,289,537
42,0.0965218269765917,277,533
43,0.088644752336828,279,539
44,0.0915434456014991,291,545
45,0.1042506259753063,299,541
46,0.0880736404042944,287,547
47,0.0844581087243244,276,543
48,0.0961157226778711,307,546
49,0.0837704245575775,265,536
50,0.1026979015792907,279,538
51,0.0830233362573597,283,540
52,0.0825548165753642,276,548
53,0.0914024673924852,287,540
54,0.093367499717113,302,544
55,0.0964982346903084,282,538
56,0.095108490409512,275,548
57,0.0789190154568409,276,543
58,0.1039892740786157,269,537
59,0.0881952170303003,274,547
60,0.1145211517828942,311,542
61,0.102557882937203,299,544
62,0.0895173535369451,266,537
63,0.0994056600370989,280,542
64,0.0719817835046866,266,542
65,0.1078068535158018,278,537
66,0.0774491050768838,263,539
67,0.0880995654539122,304,547
68,0.0827114934532616,258,541
69,0.0925824956683158,278,540
70,0.1075103265392305,305,544
71,0.0916335714952326,281,543
72,0.0772434518302111,279,545
73,0.0932966016788467,290,545
74,0.0823487976346174,274,537
75,0.089429314274011,272,539
76,0.0905523167775727,272,543
77,0.0813024248463352,263,535
78,0.0965273618938636,275,541
79,0.0904288765835234,289,536
80,0.0893153904180324,273,540
81,0.1020872886406062,280,537
82,0.1053068797870797,299,540
83,0.0972543365387209,268,543
84,0.094542874162681,271,549
85,0.0873139321017064,282,544
86,0.0952432231321354,279,531
87,0.0926277054856158,279,535
88,0.0907994762140202,262,541
89,0.0882741168297853,282,534
90,0.081793536980408,269,538
91,0.0912514651961002,268,539
92,0.0825115946204807,281,546
93,0.0736496825696599,271,528
94,0.1055726846876582,270,546
95,0.0765008534323191,269,539
96,0.083113633661189,279,535
97,0.0892428343761806,286,538
98,0.089095611166045,280,535
99,0.0939228230608182,297,534
100,0.096201362237274,267,533
101,0.0856168281881537,261,537
102,0.0969551019057915,270,550
103,0.0862833720206486,281,535
104,0.0802702112995948,254,533
105,0.0833454073235551,300,533
106,0.0906678783221855,286,540
107,0.0939974038997165,287,537
108,0.0794024084355754,268,533
109,0.0803843357878339,291,539
110,0.0867547082002857,286,541
111,0.0939861025236203,281,539
112,0.0876058790329087,290,541
113,0.0908675308286796,256,537
114,0.0858148361851513,274,543
115,0.0820805844487345,282,547
116,0.0902273964366317,282,535
117,0.0947023325955685,284,543
118,0.0889730301541807,249,545
119,0.0865587896946316,262,540
120,0.0853438889376476,251,531
121,0.0812124198579089,269,547
122,0.0920592775982458,285,532
123,0.1078566804812075,282,547
124,0.0771152808098005,274,540
125,0.0764769464778067,275,543
126,0.1014239794532754,283,543
127,0.1033452697112834,294,544
128,0.0796714263219794,257,537
129,0.0803241885162844,288,537
130,0.0884934840705992,273,531
131,0.1009020288288147,290,539
132,0.0872913661602723,283,543
133,0.1063246118037851,301,535
134,0.0806736261688186,288,546
135,0.08914545912696,285,536
136,0.0861014643403942,254,534
137,0.0906040800790326,273,536
138,0.1023390259101377,286,546
139,0.1038213279457938,291,540
140,0.1134338249712877,285,534
141,0.0726289803183634,265,546
142,0.0854133651221406,308,547
143,0.0955521448596531,283,546
144,0.0963972926330535,270,532
145,0.0842945557879114,268,540
146,0.0875697674119505,280,544
147,0.0914447573127346,283,543
148,0.0920341843617406,277,543
149,0.1026770769696517,285,544
150,0.1050806395034627,284,543
151,0.0771043151509112,286,541
152,0.0826411538490385,285,541
153,0.0939702335164359,301,553
154,0.1049599042896475,295,534
155,0.0818197923400076,277,544
156,0.078065267265211,264,542
157,0.0919471933015843,283,539
158,0.0932129073963515,283,528
159,0.1046308474089914,290,531
160,0.0867009639854374,269,547
161,0.0793940485949747,263,533
162,0.0806309845074315,265,534
163,0.0781955208083634,260,543
164,0.0789378487922229,261,528
165,0.0822583295023472,288,539
166,0.0862231804396379,268,538
