,Host_gene,Nested_gene,exp_v_host,exp_v_nested,spearman
160,rpt-4,nfyc-1,"0      369.8
1       96.8
2       45.8
3       25.1
4        0.0
       ...  
509     63.9
510     47.0
511    227.7
512     70.8
513    120.3
Name: tpm, Length: 514, dtype: float64","0      220.2
1      434.1
2      458.3
3      331.5
4      303.0
       ...  
509    139.5
510    264.5
511    755.8
512    384.2
513    311.0
Name: tpm, Length: 514, dtype: float64",0.17474133775513992
78,vps-25,toe-4,"0         0.0
1       414.2
2       494.8
3       914.9
4      1802.7
        ...  
509     709.8
510     783.4
511     344.2
512     577.8
513     542.0
Name: tpm, Length: 514, dtype: float64","0        0.0
1      108.4
2        6.8
3       64.2
4        0.0
       ...  
509     58.2
510     54.1
511     54.8
512     18.7
513      6.6
Name: tpm, Length: 514, dtype: float64",0.1921625063719459
139,K01A2.4,mps-2,"0        0.0
1       33.6
2        0.0
3      155.9
4      190.1
       ...  
509    761.2
510    727.0
511      0.0
512      3.9
513      0.0
Name: tpm, Length: 514, dtype: float64","0          0.0
1        367.7
2        845.9
3       2779.3
4       8100.5
        ...   
509    10129.0
510     7829.9
511       38.1
512        0.0
513        0.0
Name: tpm, Length: 514, dtype: float64",0.7685706919674727
395,F32E10.5,cec-4,"0       86.0
1       40.4
2       86.6
3      116.2
4        0.0
       ...  
509     16.1
510     23.6
511     63.9
512    146.8
513    127.5
Name: tpm, Length: 514, dtype: float64","0       46.6
1      443.6
2      193.4
3      224.1
4      131.1
       ...  
509     49.8
510    156.8
511     49.5
512     32.4
513     45.1
Name: tpm, Length: 514, dtype: float64",0.35954212067471875
48,arx-1,Y71F9AL.7,"0       27.2
1      251.4
2       94.1
3      109.7
4        8.3
       ...  
509    103.5
510    131.9
511    139.2
512    158.0
513    113.1
Name: tpm, Length: 514, dtype: float64","0        23.8
1      1273.4
2      2788.8
3       941.2
4       408.9
        ...  
509       0.0
510       0.0
511      11.3
512       4.5
513       0.0
Name: tpm, Length: 514, dtype: float64",0.0953190888184982
174,T23G7.2,dpl-1,"0       37.0
1       46.0
2      153.4
3       93.8
4        0.0
       ...  
509     34.9
510      5.9
511     25.5
512    117.0
513    103.1
Name: tpm, Length: 514, dtype: float64","0      171.8
1      167.5
2      117.9
3       44.6
4      137.3
       ...  
509      0.0
510     36.4
511    208.0
512    141.2
513    143.8
Name: tpm, Length: 514, dtype: float64",0.12397515416088054
71,dpt-1,sod-2,"0      216.8
1       49.7
2       40.5
3       55.6
4       95.6
       ...  
509     27.2
510      0.0
511     58.3
512     72.3
513     76.3
Name: tpm, Length: 514, dtype: float64","0      118.0
1       25.3
2       38.7
3        0.0
4       70.5
       ...  
509     46.7
510     62.5
511    422.4
512    396.6
513    316.1
Name: tpm, Length: 514, dtype: float64",-0.07380375489619916
179,clpp-1,mdt-22,"0      115.7
1       59.8
2       34.3
3        9.0
4        0.0
       ...  
509     29.6
510     24.4
511     44.0
512    107.7
513     86.2
Name: tpm, Length: 514, dtype: float64","0       927.7
1       425.6
2       293.0
3       239.5
4       569.4
        ...  
509     220.1
510     232.8
511    1741.5
512     861.4
513     611.2
Name: tpm, Length: 514, dtype: float64",-0.26197456976395983
47,arx-1,Y71F9AL.6,"0       27.2
1      251.4
2       94.1
3      109.7
4        8.3
       ...  
509    103.5
510    131.9
511    139.2
512    158.0
513    113.1
Name: tpm, Length: 514, dtype: float64","0       44.0
1      696.8
2      528.4
3      499.5
4        0.0
       ...  
509      9.8
510      8.4
511      7.0
512      6.2
513      0.0
Name: tpm, Length: 514, dtype: float64",0.028858043349949323
9,rbg-2,T22C1.11,"0       23.7
1       71.4
2        0.0
3       29.1
4        0.0
       ...  
509     15.9
510     18.4
511     34.5
512    108.0
513     75.5
Name: tpm, Length: 514, dtype: float64","0       1.5
1      26.1
2       7.5
3      20.1
4       0.0
       ... 
509    14.2
510    10.7
511    14.7
512    22.4
513    10.3
Name: tpm, Length: 514, dtype: float64",0.09190352969980657
94,tpxl-1,epg-2,"0       98.4
1      173.5
2      104.4
3      118.4
4        0.0
       ...  
509      0.9
510     19.5
511    382.8
512    146.1
513    134.4
Name: tpm, Length: 514, dtype: float64","0       461.7
1      1385.2
2       469.1
3       420.9
4       632.1
        ...  
509    1066.2
510    2123.4
511      43.3
512      18.3
513       2.0
Name: tpm, Length: 514, dtype: float64",-0.12873890108678057
88,F27C1.6,F27C1.4,"0      225.7
1      134.2
2       32.6
3       84.3
4        0.0
       ...  
509    189.1
510    184.6
511    261.7
512    554.3
513    407.3
Name: tpm, Length: 514, dtype: float64","0      50.8
1      18.6
2      51.2
3      29.4
4      34.0
       ... 
509    33.7
510     5.0
511    10.2
512     4.0
513     0.0
Name: tpm, Length: 514, dtype: float64",-0.2496191738754593
68,ocrl-1,eat-16,"0        0.0
1        0.0
2        5.7
3        6.1
4        0.0
       ...  
509     10.5
510      0.0
511      4.1
512     75.2
513    101.6
Name: tpm, Length: 514, dtype: float64","0        0.0
1       20.3
2       74.7
3      113.2
4      935.2
       ...  
509     96.0
510    126.9
511     26.8
512     12.4
513      5.4
Name: tpm, Length: 514, dtype: float64",0.1334729998756674
118,C26D10.3,hel-1,"0      11.9
1       4.9
2       0.0
3      45.5
4       0.0
       ... 
509    29.5
510     0.0
511     5.2
512    21.1
513    40.8
Name: tpm, Length: 514, dtype: float64","0      1534.4
1      1089.4
2       878.0
3       419.2
4       115.8
        ...  
509     427.4
510     591.4
511     653.8
512     995.5
513     713.0
Name: tpm, Length: 514, dtype: float64",-0.35445993479066973
278,evl-18,F34D10.3,"0      26.8
1      32.6
2      32.6
3       0.0
4       0.0
       ... 
509     0.0
510     0.0
511    37.6
512    27.5
513    11.9
Name: tpm, Length: 514, dtype: float64","0       13.9
1      186.8
2      276.9
3      288.8
4      637.2
       ...  
509     84.5
510     94.3
511      1.5
512     12.4
513     19.5
Name: tpm, Length: 514, dtype: float64",-0.06567026327356393
377,mogs-1,F13H10.8,"0        0.0
1        0.0
2       24.6
3        0.0
4        0.0
       ...  
509     18.9
510     11.1
511     34.2
512    163.4
513    106.5
Name: tpm, Length: 514, dtype: float64","0      66.7
1       8.3
2       1.1
3      58.3
4       0.0
       ... 
509    36.4
510     8.3
511    26.4
512    72.7
513    47.3
Name: tpm, Length: 514, dtype: float64",-0.043985133411500156
336,fcd-2,Y41E3.8,"0       36.2
1       53.8
2       34.6
3       17.1
4        0.0
       ...  
509      0.0
510      0.0
511     57.4
512     92.0
513    111.1
Name: tpm, Length: 514, dtype: float64","0      359.9
1      630.0
2      746.6
3      400.5
4      821.9
       ...  
509    312.1
510    376.7
511    168.5
512    112.5
513    137.4
Name: tpm, Length: 514, dtype: float64",0.1211441451890157
211,M03C11.3,hat-1,"0      15.5
1      36.3
2       0.0
3       0.0
4       0.0
       ... 
509     0.0
510    14.6
511    41.4
512    43.6
513    25.3
Name: tpm, Length: 514, dtype: float64","0      44.0
1      88.0
2      70.3
3      74.3
4       0.0
       ... 
509     0.0
510     0.0
511    50.3
512    50.1
513    21.7
Name: tpm, Length: 514, dtype: float64",0.20224035777109547
293,ZK512.2,ZK512.11,"0       67.0
1      138.2
2       57.8
3       11.1
4      111.5
       ...  
509     27.2
510     62.0
511     26.9
512    219.8
513    218.1
Name: tpm, Length: 514, dtype: float64","0        0.0
1       15.8
2        7.9
3       25.7
4       89.7
       ...  
509    101.8
510     27.6
511      0.0
512      0.5
513      1.9
Name: tpm, Length: 514, dtype: float64",-0.3940400522853612
290,faah-4,sdz-33,"0       50.6
1       16.3
2      158.1
3       18.7
4        0.0
       ...  
509      3.5
510     15.4
511     64.9
512    137.6
513     99.8
Name: tpm, Length: 514, dtype: float64","0      231.4
1      284.6
2        6.3
3        0.0
4        0.0
       ...  
509      3.8
510      0.0
511      0.0
512      5.3
513      0.0
Name: tpm, Length: 514, dtype: float64",0.2523155824299672
370,npp-8,Y41D4B.14,"0      342.4
1       32.2
2      108.2
3       18.6
4        0.0
       ...  
509     24.8
510     35.9
511    341.3
512    106.5
513     98.1
Name: tpm, Length: 514, dtype: float64","0      530.4
1       11.0
2        0.0
3        0.0
4        0.0
       ...  
509      7.2
510      0.0
511     12.2
512      0.0
513      0.0
Name: tpm, Length: 514, dtype: float64",0.13223608225411554
74,T01G9.2,dma-1,"0       83.5
1      106.0
2       25.6
3      137.0
4      207.1
       ...  
509     74.1
510     70.3
511     42.9
512     40.8
513     30.4
Name: tpm, Length: 514, dtype: float64","0         0.0
1         1.3
2         0.0
3        25.7
4      2172.7
        ...  
509       0.0
510       9.8
511       0.0
512       6.0
513       0.0
Name: tpm, Length: 514, dtype: float64",0.3253620090932772
119,xpf-1,inos-1,"0       12.8
1       17.1
2        0.0
3       12.7
4        0.0
       ...  
509     17.7
510      0.0
511     77.2
512    159.8
513    131.8
Name: tpm, Length: 514, dtype: float64","0      165.5
1       64.1
2        0.0
3        0.0
4        0.0
       ...  
509      0.0
510     22.4
511     70.4
512    100.0
513     69.6
Name: tpm, Length: 514, dtype: float64",0.041721214887330854
76,T28F4.4,T28F4.5,"0      10.3
1       5.2
2       0.0
3      49.5
4      15.5
       ... 
509    15.7
510    35.2
511    13.1
512    10.2
513     7.3
Name: tpm, Length: 514, dtype: float64","0       0.0
1       0.0
2       9.1
3      20.0
4       0.0
       ... 
509     0.0
510     0.0
511     0.0
512     0.0
513     0.0
Name: tpm, Length: 514, dtype: float64",0.15629410284843062
