,Host_gene,Nested_gene,exp_v_host,exp_v_nested,spearman
139,K01A2.4,mps-2,"0       641.6
1        39.7
2       291.0
3         0.0
4       485.1
        ...  
404     890.9
405    1090.4
406     474.9
407     187.2
408      28.3
Name: tpm, Length: 409, dtype: float64","0       9102.2
1       5807.0
2       5075.8
3       2393.7
4       6622.3
        ...   
404    32746.9
405    15183.9
406     8322.6
407     4982.2
408      640.5
Name: tpm, Length: 409, dtype: float64",0.6727311479182604
78,vps-25,toe-4,"0      1386.3
1      1142.0
2      1286.4
3      1115.6
4      1390.8
        ...  
404    1050.4
405     906.4
406     602.9
407     462.1
408     275.9
Name: tpm, Length: 409, dtype: float64","0       84.8
1       27.8
2       81.9
3       32.9
4      151.1
       ...  
404      0.0
405      0.0
406     21.0
407      0.0
408      0.0
Name: tpm, Length: 409, dtype: float64",0.478116014682533
160,rpt-4,nfyc-1,"0       42.5
1       24.9
2       17.7
3       30.5
4       44.5
       ...  
404      1.3
405      0.0
406     66.2
407      0.0
408    119.0
Name: tpm, Length: 409, dtype: float64","0      263.1
1       45.8
2      181.2
3      117.2
4      286.3
       ...  
404     63.3
405    379.9
406    144.9
407     27.2
408     88.3
Name: tpm, Length: 409, dtype: float64",0.23898476842383426
74,T01G9.2,dma-1,"0      181.4
1       52.6
2      199.4
3       40.7
4      105.2
       ...  
404     44.5
405    120.7
406    112.0
407    241.2
408     59.7
Name: tpm, Length: 409, dtype: float64","0      3376.9
1      3639.0
2        50.2
3         0.0
4        17.8
        ...  
404     409.2
405       0.0
406      57.6
407      18.5
408       0.0
Name: tpm, Length: 409, dtype: float64",0.3994327640330816
395,F32E10.5,cec-4,"0      119.9
1        0.0
2       44.4
3        0.0
4      111.4
       ...  
404      0.0
405    103.7
406     36.0
407      0.0
408     38.2
Name: tpm, Length: 409, dtype: float64","0       84.7
1        0.0
2      105.2
3       41.2
4       85.3
       ...  
404     55.9
405     67.4
406     47.4
407    123.0
408      0.0
Name: tpm, Length: 409, dtype: float64",0.6440881091542874
48,arx-1,Y71F9AL.7,"0       75.9
1       39.7
2      143.3
3       39.0
4      128.8
       ...  
404    189.9
405    243.2
406    117.4
407      0.8
408    102.2
Name: tpm, Length: 409, dtype: float64","0       99.5
1        0.0
2       37.0
3        0.0
4      360.5
       ...  
404      0.0
405      0.0
406     95.4
407     24.6
408      5.5
Name: tpm, Length: 409, dtype: float64",0.13011483567116322
68,ocrl-1,eat-16,"0       7.5
1       0.0
2       0.0
3       0.0
4      14.7
       ... 
404     0.0
405     0.0
406    21.7
407    31.7
408     0.0
Name: tpm, Length: 409, dtype: float64","0      847.0
1       76.7
2      768.8
3      832.1
4      371.0
       ...  
404    168.9
405     78.4
406    142.2
407    182.0
408     44.5
Name: tpm, Length: 409, dtype: float64",0.2507676754298009
71,dpt-1,sod-2,"0      53.7
1       0.0
2       0.0
3       0.0
4      16.8
       ... 
404     8.2
405     0.0
406    44.2
407     0.0
408     3.1
Name: tpm, Length: 409, dtype: float64","0        0.0
1        8.1
2       39.4
3       16.3
4       42.0
       ...  
404      0.0
405    140.8
406     50.2
407     96.5
408     13.7
Name: tpm, Length: 409, dtype: float64",0.1341241959655571
179,clpp-1,mdt-22,"0      17.9
1       0.0
2       0.0
3       5.4
4      22.6
       ... 
404    30.7
405     0.0
406    46.7
407     0.0
408    10.2
Name: tpm, Length: 409, dtype: float64","0      273.9
1      125.4
2      293.0
3      395.8
4      530.6
       ...  
404    403.9
405    790.3
406    213.8
407    254.0
408     67.8
Name: tpm, Length: 409, dtype: float64",-0.13312449144843477
47,arx-1,Y71F9AL.6,"0       75.9
1       39.7
2      143.3
3       39.0
4      128.8
       ...  
404    189.9
405    243.2
406    117.4
407      0.8
408    102.2
Name: tpm, Length: 409, dtype: float64","0       91.1
1       50.5
2       11.4
3        0.0
4      880.3
       ...  
404      0.0
405      0.0
406     21.1
407     18.7
408     57.3
Name: tpm, Length: 409, dtype: float64",0.10500462946449032
