,Host,Nested
0,WBGene00000096,WBGene00008063
1,WBGene00000814,WBGene00194700
2,WBGene00001555,WBGene00011434
3,WBGene00002583,WBGene00015093
4,WBGene00002583,WBGene00015094
5,WBGene00003020,WBGene00016332
6,WBGene00003258,WBGene00021834
7,WBGene00003799,WBGene00021354
8,WBGene00003799,WBGene00044810
9,WBGene00004318,WBGene00011920
10,WBGene00004969,WBGene00001773
11,WBGene00004978,WBGene00021641
12,WBGene00006440,WBGene00021639
13,WBGene00006532,WBGene00009344
14,WBGene00006594,WBGene00019693
15,WBGene00006618,WBGene00001960
16,WBGene00006820,WBGene00015631
17,WBGene00007277,WBGene00219796
18,WBGene00007597,WBGene00000612
19,WBGene00008317,WBGene00008316
20,WBGene00008570,WBGene00023411
21,WBGene00008665,WBGene00003564
22,WBGene00009178,WBGene00002026
23,WBGene00009314,WBGene00009315
24,WBGene00009455,WBGene00006682
25,WBGene00009456,WBGene00009457
26,WBGene00009962,WBGene00219450
27,WBGene00011232,WBGene00011234
28,WBGene00011970,WBGene00011971
29,WBGene00015704,WBGene00020656
30,WBGene00016561,WBGene00016565
31,WBGene00016836,WBGene00000012
32,WBGene00016836,WBGene00000013
33,WBGene00017795,WBGene00001592
34,WBGene00019074,WBGene00019081
35,WBGene00019323,WBGene00004778
36,WBGene00021683,WBGene00021679
37,WBGene00021685,WBGene00021690
38,WBGene00021685,WBGene00021691
39,WBGene00021685,WBGene00195068
40,WBGene00022026,WBGene00022030
41,WBGene00022121,WBGene00045398
42,WBGene00022121,WBGene00306080
43,WBGene00022138,WBGene00021768
44,WBGene00022148,WBGene00022160
45,WBGene00022148,WBGene00022161
46,WBGene00000088,WBGene00006272
47,WBGene00000199,WBGene00022111
48,WBGene00000199,WBGene00022112
49,WBGene00000199,WBGene00304792
50,WBGene00000492,WBGene00010327
51,WBGene00000492,WBGene00077764
52,WBGene00000967,WBGene00011376
53,WBGene00001980,WBGene00013130
54,WBGene00002119,WBGene00206528
55,WBGene00002717,WBGene00018596
56,WBGene00003068,WBGene00020858
57,WBGene00003068,WBGene00077519
58,WBGene00003186,WBGene00000625
59,WBGene00003472,WBGene00015175
60,WBGene00004049,WBGene00022108
61,WBGene00004275,WBGene00012266
62,WBGene00004946,WBGene00022125
63,WBGene00006423,WBGene00016742
64,WBGene00006790,WBGene00010114
65,WBGene00006805,WBGene00018868
66,WBGene00007054,WBGene00007158
67,WBGene00007275,WBGene00004437
68,WBGene00007620,WBGene00001145
69,WBGene00007655,WBGene00077684
70,WBGene00008064,WBGene00219284
71,WBGene00008532,WBGene00004931
72,WBGene00010498,WBGene00010499
73,WBGene00010498,WBGene00044679
74,WBGene00011344,WBGene00011345
75,WBGene00011827,WBGene00008890
76,WBGene00012139,WBGene00012140
77,WBGene00012139,WBGene00271567
78,WBGene00012193,WBGene00012194
79,WBGene00012393,WBGene00012391
80,WBGene00013201,WBGene00013202
81,WBGene00013672,WBGene00013684
82,WBGene00013711,WBGene00013712
83,WBGene00013955,WBGene00011380
84,WBGene00016159,WBGene00023409
85,WBGene00016325,WBGene00016320
86,WBGene00016330,WBGene00016327
87,WBGene00017855,WBGene00017853
88,WBGene00017855,WBGene00017854
89,WBGene00017858,WBGene00017851
90,WBGene00018923,WBGene00018921
91,WBGene00018923,WBGene00022028
92,WBGene00019434,WBGene00016945
93,WBGene00021334,WBGene00021328
94,WBGene00021470,WBGene00021468
95,WBGene00021661,WBGene00021658
96,WBGene00022281,WBGene00022282
97,WBGene00022635,WBGene00015907
98,WBGene00044414,WBGene00015500
99,WBGene00219450,WBGene00009960
100,WBGene00001757,WBGene00003431
101,WBGene00002184,WBGene00006617
102,WBGene00002957,WBGene00009355
103,WBGene00003133,WBGene00007502
104,WBGene00003367,WBGene00014848
105,WBGene00004038,WBGene00005352
106,WBGene00004122,WBGene00018047
107,WBGene00004122,WBGene00018048
108,WBGene00004122,WBGene00018049
109,WBGene00004122,WBGene00018050
110,WBGene00004232,WBGene00012607
111,WBGene00004704,WBGene00008433
112,WBGene00006495,WBGene00017947
113,WBGene00006495,WBGene00017948
114,WBGene00006603,WBGene00008963
115,WBGene00006988,WBGene00000252
116,WBGene00007050,WBGene00016974
117,WBGene00007490,WBGene00271803
118,WBGene00007744,WBGene00001840
119,WBGene00008140,WBGene00012148
120,WBGene00009354,WBGene00009729
121,WBGene00011044,WBGene00013148
122,WBGene00011335,WBGene00011336
123,WBGene00012033,WBGene00012035
124,WBGene00012149,WBGene00008743
125,WBGene00012203,WBGene00002227
126,WBGene00012989,WBGene00012988
127,WBGene00013171,WBGene00013172
128,WBGene00013189,WBGene00013190
129,WBGene00013189,WBGene00013192
