,Host,Nested
0,ahr-1,cylc-2
1,csn-2,B0025.5
2,gcy-35,T04D3.5
3,let-363,B0261.5
4,let-363,B0261.6
5,lin-35,C32F10.4
6,cogc-1,mab-31
7,npp-13,fpn-1.1
8,npp-13,Y37E3.19
9,rbg-2,T22C1.11
10,spe-15,gst-25
11,spg-7,Y47G6A.15
12,nefr-1,Y47G6A.13
13,tba-6,F32H2.7
14,tom-1,ostd-1
15,trt-1,hlh-16
16,unc-89,clec-89
17,asfl-1,C03D6.9
18,C15A11.2,col-35
19,C54G4.7,dod-18
20,kcnl-2,srz-3
21,ercc-1,ncs-2
22,uggt-2,hsp-70
23,phm-2,F32B4.5
24,phip-1,twk-30
25,F36A2.9,F36A2.10
26,F53B6.7,F53B6.13
27,pck-2,R11A5.6
28,rlbp-1,lron-9
29,tiam-1,T21E12.5
30,eri-6,sosi-1
31,C50F2.2,abf-1
32,C50F2.2,abf-2
33,F25F8.1,glc-2
34,cpd-1,F59A3.8
35,teg-4,ser-3
36,mtm-10,Y48G1C.6
37,herc-1,Y48G8AL.12
38,herc-1,Y48G8AL.13
39,herc-1,Y48G8AL.16
40,Y65B4A.2,Y65B4A.7
41,cogc-3,Y71F9AM.8
42,cogc-3,Y71F9AM.11
43,trpp-10,Y51F10.7
44,ddx-27,Y71G12B.25
45,ddx-27,mtig-1
46,aex-5,str-245
47,arx-1,Y71F9AL.6
48,arx-1,Y71F9AL.7
49,arx-1,Y71F9AL.25
50,che-13,F59C6.8
51,che-13,F59C6.16
52,dhs-3,gla-3
53,hmr-1,Y52B11B.1
54,ins-36,Y53H1A.7
55,let-526,F48C1.3
56,lrk-1,mop-25.3
57,lrk-1,T27C10.8
58,mek-2,col-48
59,mtk-1,srz-4
60,parp-1,Y71F9AL.2
61,rab-11.2,W04G5.5
62,sop-3,Y71F9B.1
63,asd-2,C48B6.4
64,unc-55,F55D12.6
65,unc-73,F55C7.2
66,scpl-1,B0379.6
67,C03D6.1,rpl-24.2
68,ocrl-1,eat-16
69,C17H1.2,Y26D4A.21
70,C41G7.7,C41G7.15
71,dpt-1,sod-2
72,tnsl-1,K02B12.6
73,tnsl-1,K02B12.9
74,T01G9.2,dma-1
75,T19A6.1,ser-5
76,T28F4.4,T28F4.5
77,T28F4.4,T28F4.8
78,vps-25,toe-4
79,Y6B3B.9,Y6B3B.7
80,dus-2,gid-1
81,catp-1,Y105E8A.27
82,Y106G6G.2,dlc-6
83,kri-1,T02E1.8
84,pigo-1,mbd-2
85,C32E8.9,C32E8.1
86,C32E12.4,C32E12.1
87,F27C1.6,F27C1.3
88,F27C1.6,F27C1.4
89,F27C1.11,F27C1.1
90,eme-1,sago-2
91,eme-1,Y65B4A.4
92,nmtn-1,sulp-1
93,vps-4,npr-23
94,tpxl-1,epg-2
95,mbtr-1,Y48G1A.2
96,abtm-1,Y74C10AR.2
97,ZC581.9,C17F3.1
98,C06A5.12,C06A5.2
