,Host_gene,Nested_gene,exp_both,exp_U,ratio_coexp,exp_host,exp_nested
0,ahr-1,cylc-2,0,33,0.0,33,0
1,csn-2,B0025.5,2,507,0.0039447731755424065,507,2
2,gcy-35,T04D3.5,69,514,0.13424124513618677,69,514
3,let-363,B0261.5,0,495,0.0,495,0
4,let-363,B0261.6,2,495,0.00404040404040404,495,2
5,lin-35,C32F10.4,40,472,0.0847457627118644,469,43
6,cogc-1,mab-31,89,379,0.23482849604221637,340,128
7,npp-13,fpn-1.1,15,469,0.031982942430703626,468,16
8,npp-13,Y37E3.19,0,468,0.0,468,0
9,rbg-2,T22C1.11,397,483,0.8219461697722568,454,426
10,spe-15,gst-25,7,106,0.0660377358490566,101,12
11,spg-7,Y47G6A.15,46,369,0.12466124661246612,360,55
12,nefr-1,Y47G6A.13,0,6,0.0,0,6
13,tba-6,F32H2.7,4,46,0.08695652173913043,44,6
14,tom-1,ostd-1,151,505,0.299009900990099,154,502
15,trt-1,hlh-16,101,292,0.3458904109589041,138,255
16,unc-89,clec-89,1,131,0.007633587786259542,130,2
17,asfl-1,C03D6.9,126,332,0.3795180722891566,134,324
18,C15A11.2,col-35,0,1,0.0,1,0
19,C54G4.7,dod-18,177,428,0.4135514018691589,197,408
20,kcnl-2,srz-3,0,25,0.0,25,0
21,ercc-1,ncs-2,215,438,0.4908675799086758,275,378
22,uggt-2,hsp-70,14,291,0.048109965635738834,20,285
23,phm-2,F32B4.5,0,24,0.0,0,24
24,phip-1,twk-30,7,483,0.014492753623188406,483,7
25,F36A2.9,F36A2.10,9,370,0.024324324324324326,369,10
26,F53B6.7,F53B6.13,2,172,0.011627906976744186,3,171
27,pck-2,R11A5.6,0,429,0.0,429,0
28,rlbp-1,lron-9,68,452,0.1504424778761062,444,76
29,tiam-1,T21E12.5,7,50,0.14,49,8
30,eri-6,sosi-1,0,352,0.0,352,0
31,C50F2.2,abf-1,0,449,0.0,449,0
32,C50F2.2,abf-2,1,449,0.0022271714922048997,449,1
33,F25F8.1,glc-2,0,168,0.0,166,2
34,cpd-1,F59A3.8,0,190,0.0,190,0
35,teg-4,ser-3,59,502,0.11752988047808766,502,59
36,mtm-10,Y48G1C.6,0,139,0.0,0,139
37,herc-1,Y48G8AL.12,7,239,0.029288702928870293,233,13
38,herc-1,Y48G8AL.13,212,472,0.4491525423728814,233,451
39,herc-1,Y48G8AL.16,0,233,0.0,233,0
40,Y65B4A.2,Y65B4A.7,0,70,0.0,57,13
41,cogc-3,Y71F9AM.8,0,397,0.0,397,0
42,cogc-3,Y71F9AM.11,0,397,0.0,397,0
43,trpp-10,Y51F10.7,25,360,0.06944444444444445,358,27
44,ddx-27,Y71G12B.25,107,469,0.2281449893390192,462,114
45,ddx-27,mtig-1,0,462,0.0,462,0
46,aex-5,str-245,1,6,0.16666666666666666,4,3
47,arx-1,Y71F9AL.6,429,507,0.8461538461538461,497,439
48,arx-1,Y71F9AL.7,447,513,0.8713450292397661,497,463
49,arx-1,Y71F9AL.25,0,497,0.0,497,0
50,che-13,F59C6.8,5,122,0.040983606557377046,107,20
51,che-13,F59C6.16,10,137,0.072992700729927,107,40
52,dhs-3,gla-3,4,74,0.05405405405405406,38,40
53,hmr-1,Y52B11B.1,3,512,0.005859375,512,3
54,ins-36,Y53H1A.7,12,69,0.17391304347826086,39,42
55,let-526,F48C1.3,5,513,0.009746588693957114,513,5
56,lrk-1,mop-25.3,5,440,0.011363636363636364,439,6
57,lrk-1,T27C10.8,1,439,0.002277904328018223,439,1
58,mek-2,col-48,17,393,0.043256997455470736,390,20
59,mtk-1,srz-4,1,494,0.0020242914979757085,494,1
