,Host_gene,Nested_gene,exp_both,exp_U,ratio_coexp,exp_host,exp_nested
0,ahr-1,cylc-2,0,37,0.0,37,0
1,csn-2,B0025.5,1,338,0.0029585798816568047,338,1
2,gcy-35,T04D3.5,58,388,0.14948453608247422,60,386
3,let-363,B0261.5,2,329,0.0060790273556231,329,2
4,let-363,B0261.6,2,329,0.0060790273556231,329,2
5,lin-35,C32F10.4,57,239,0.2384937238493724,218,78
6,cogc-1,mab-31,87,268,0.3246268656716418,142,213
7,npp-13,fpn-1.1,32,243,0.13168724279835392,228,47
8,npp-13,Y37E3.19,0,228,0.0,228,0
9,rbg-2,T22C1.11,153,296,0.5168918918918919,263,186
10,spe-15,gst-25,9,85,0.10588235294117647,79,15
11,spg-7,Y47G6A.15,52,189,0.2751322751322751,154,87
12,nefr-1,Y47G6A.13,0,7,0.0,0,7
13,tba-6,F32H2.7,5,47,0.10638297872340426,46,6
14,tom-1,ostd-1,174,362,0.48066298342541436,196,340
15,trt-1,hlh-16,65,235,0.2765957446808511,82,218
16,unc-89,clec-89,3,142,0.02112676056338028,136,9
17,asfl-1,C03D6.9,9,99,0.09090909090909091,18,90
18,C15A11.2,col-35,0,14,0.0,13,1
19,C54G4.7,dod-18,105,225,0.4666666666666667,154,176
20,kcnl-2,srz-3,1,79,0.012658227848101266,79,1
21,ercc-1,ncs-2,128,372,0.34408602150537637,138,362
22,uggt-2,hsp-70,12,157,0.07643312101910828,22,147
23,phm-2,F32B4.5,0,107,0.0,0,107
24,phip-1,twk-30,24,316,0.0759493670886076,310,30
25,F36A2.9,F36A2.10,8,184,0.043478260869565216,180,12
26,F53B6.7,F53B6.13,2,55,0.03636363636363636,2,55
27,pck-2,R11A5.6,1,334,0.0029940119760479044,334,1
28,rlbp-1,lron-9,88,310,0.2838709677419355,277,121
29,tiam-1,T21E12.5,2,91,0.02197802197802198,89,4
30,eri-6,sosi-1,0,151,0.0,151,0
31,C50F2.2,abf-1,2,183,0.01092896174863388,181,4
32,C50F2.2,abf-2,3,183,0.01639344262295082,181,5
33,F25F8.1,glc-2,14,214,0.06542056074766354,211,17
34,cpd-1,F59A3.8,0,179,0.0,179,0
35,teg-4,ser-3,61,313,0.19488817891373802,305,69
36,mtm-10,Y48G1C.6,0,138,0.0,0,138
37,herc-1,Y48G8AL.12,18,182,0.0989010989010989,165,35
38,herc-1,Y48G8AL.13,121,259,0.4671814671814672,165,215
39,herc-1,Y48G8AL.16,2,166,0.012048192771084338,165,3
40,Y65B4A.2,Y65B4A.7,1,112,0.008928571428571428,110,3
41,cogc-3,Y71F9AM.8,1,216,0.004629629629629629,216,1
42,cogc-3,Y71F9AM.11,0,216,0.0,216,0
43,trpp-10,Y51F10.7,38,215,0.17674418604651163,198,55
44,ddx-27,Y71G12B.25,82,291,0.281786941580756,242,131
45,ddx-27,mtig-1,0,242,0.0,242,0
46,aex-5,str-245,4,28,0.14285714285714285,24,8
47,arx-1,Y71F9AL.6,230,382,0.6020942408376964,362,250
48,arx-1,Y71F9AL.7,249,387,0.6434108527131783,362,274
49,arx-1,Y71F9AL.25,0,362,0.0,362,0
50,che-13,F59C6.8,11,139,0.07913669064748201,130,20
51,che-13,F59C6.16,6,140,0.04285714285714286,130,16
52,dhs-3,gla-3,9,70,0.12857142857142856,52,27
53,hmr-1,Y52B11B.1,3,389,0.007712082262210797,389,3
54,ins-36,Y53H1A.7,3,20,0.15,11,12
55,let-526,F48C1.3,14,394,0.03553299492385787,394,14
56,lrk-1,mop-25.3,4,302,0.013245033112582781,300,6
57,lrk-1,T27C10.8,1,300,0.0033333333333333335,300,1
58,mek-2,col-48,45,255,0.17647058823529413,225,75
59,mtk-1,srz-4,4,300,0.013333333333333334,300,4
60,parp-1,Y71F9AL.2,17,124,0.13709677419354838,119,22
61,rab-11.2,W04G5.5,1,8,0.125,7,2
62,sop-3,Y71F9B.1,58,325,0.17846153846153845,323,60
63,asd-2,C48B6.4,0,260,0.0,260,0
64,unc-55,F55D12.6,0,1,0.0,1,0
65,unc-73,F55C7.2,0,351,0.0,351,0
66,scpl-1,B0379.6,0,82,0.0,82,0
67,C03D6.1,rpl-24.2,19,352,0.05397727272727273,19,352
68,ocrl-1,eat-16,248,399,0.6215538847117794,253,394
69,C17H1.2,Y26D4A.21,0,3,0.0,2,1
70,C41G7.7,C41G7.15,17,88,0.19318181818181818,32,73
71,dpt-1,sod-2,199,322,0.6180124223602484,250,271
72,tnsl-1,K02B12.6,0,6,0.0,0,6
73,tnsl-1,K02B12.9,0,15,0.0,0,15
74,T01G9.2,dma-1,273,391,0.6982097186700768,365,299
75,T19A6.1,ser-5,23,376,0.061170212765957445,375,24
76,T28F4.4,T28F4.5,148,309,0.47896440129449835,234,223
77,T28F4.4,T28F4.8,0,234,0.0,234,0
78,vps-25,toe-4,319,409,0.7799511002444988,409,319
79,Y6B3B.9,Y6B3B.7,38,245,0.15510204081632653,208,75
80,dus-2,gid-1,0,186,0.0,186,0
81,catp-1,Y105E8A.27,0,32,0.0,31,1
82,Y106G6G.2,dlc-6,0,115,0.0,115,0
83,kri-1,T02E1.8,10,120,0.08333333333333333,34,96
84,pigo-1,mbd-2,0,307,0.0,0,307
85,C32E8.9,C32E8.1,3,146,0.02054794520547945,146,3
86,C32E12.4,C32E12.1,0,78,0.0,78,0
87,F27C1.6,F27C1.3,0,296,0.0,296,0
88,F27C1.6,F27C1.4,178,342,0.52046783625731,296,224
89,F27C1.11,F27C1.1,2,39,0.05128205128205128,37,4
90,eme-1,sago-2,8,174,0.04597701149425287,171,11
91,eme-1,Y65B4A.4,2,171,0.011695906432748537,171,2
92,nmtn-1,sulp-1,18,241,0.07468879668049792,238,21
93,vps-4,npr-23,33,219,0.1506849315068493,193,59
94,tpxl-1,epg-2,124,398,0.31155778894472363,125,397
95,mbtr-1,Y48G1A.2,14,47,0.2978723404255319,36,25
96,abtm-1,Y74C10AR.2,1,193,0.0051813471502590676,192,2
97,ZC581.9,C17F3.1,1,33,0.030303030303030304,32,2
98,C06A5.12,C06A5.2,2,35,0.05714285714285714,34,3
99,F53B6.13,F53B6.5,1,55,0.01818181818181818,55,1
100,gst-9,msp-33,1,1,1.0,1,1
101,kel-1,tars-1,157,327,0.4801223241590214,251,233
102,let-858,F33A8.7,155,351,0.4415954415954416,318,188
103,apc-1,glb-4,0,14,0.0,0,14
104,mix-1,VM106R.1,86,375,0.22933333333333333,370,91
105,plc-3,srh-135,0,126,0.0,126,0
106,pqn-35,clec-136,2,91,0.02197802197802198,91,2
107,pqn-35,clec-137,0,91,0.0,91,0
108,pqn-35,clec-138,0,91,0.0,91,0
109,pqn-35,clec-139,3,91,0.03296703296703297,91,3
110,ptr-18,Y38F1A.4,2,46,0.043478260869565216,40,8
111,rsp-7,marc-2,4,319,0.012539184952978056,319,4
112,cpna-1,mth-2,7,95,0.07368421052631578,89,13
113,cpna-1,mth-1,9,95,0.09473684210526316,89,15
114,tps-2,F19H8.2,21,134,0.15671641791044777,118,37
115,zyg-1,bli-2,4,170,0.023529411764705882,168,6
116,utp-20,lron-15,50,249,0.20080321285140562,229,70
117,mks-5,C09G5.14,0,119,0.0,119,0
118,C26D10.3,hel-1,214,397,0.5390428211586902,216,395
119,xpf-1,inos-1,126,278,0.45323741007194246,207,197
120,ilkp-1,F45E10.2,0,119,0.0,0,119
121,R05H10.3,Y53F4A.2,0,87,0.0,85,2
122,T01E8.8,ubxn-5,0,100,0.0,99,1
123,T26C5.3,T26C5.5,43,250,0.172,231,62
124,VF13D12L.3,fcmt-1,0,163,0.0,163,0
125,rga-1,klp-17,1,303,0.0033003300330033004,303,1
126,Y48C3A.5,ztf-22,53,242,0.2190082644628099,90,205
127,Y53F4B.25,Y53F4B.26,0,24,0.0,24,0
128,Y54E2A.4,Y54E2A.5,1,116,0.008620689655172414,116,1
129,Y54E2A.4,Y54E2A.7,0,116,0.0,116,0
130,B0286.1,fkh-6,12,337,0.03560830860534125,337,12
131,lelo-4,C18A3.10,0,66,0.0,0,66
132,sptl-1,tre-5,20,309,0.06472491909385113,307,22
133,C27D6.1,C27D6.3,5,31,0.16129032258064516,29,7
134,C32B5.7,C32B5.13,6,115,0.05217391304347826,113,8
135,sec-6,F09E5.12,42,345,0.12173913043478261,343,44
136,sec-6,F09E5.16,34,347,0.09798270893371758,343,38
137,nep-13,scl-15,0,1,0.0,1,0
138,F41C3.7,F41C3.11,3,85,0.03529411764705882,17,71
139,K01A2.4,mps-2,349,408,0.8553921568627451,350,407
140,lect-2,K05F1.14,0,183,0.0,183,0
141,npp-21,osm-8,18,275,0.06545454545454546,262,31
142,T02G5.3,mct-5,18,197,0.09137055837563451,194,21
143,T19D12.4,T19D12.5,1,22,0.045454545454545456,22,1
144,lgc-45,W10G11.1,3,9,0.3333333333333333,5,7
145,lgc-45,W10G11.2,0,5,0.0,5,0
146,lgc-45,W10G11.3,1,5,0.2,5,1
147,T01D1.8,T01D1.5,0,69,0.0,69,0
148,acr-7,T09A5.4,53,216,0.24537037037037038,61,208
149,age-1,Y62F5A.10,2,215,0.009302325581395349,215,2
150,pah-1,K08F8.15,0,100,0.0,100,0
151,col-72,W09G10.9,0,2,0.0,2,0
152,cyn-11,T01B7.13,13,269,0.048327137546468404,261,21
153,gcy-5,srlf-34,0,2,0.0,2,0
154,glr-4,srlf-1,0,46,0.0,46,0
155,him-14,nos-2,4,60,0.06666666666666667,7,57
156,ire-1,unc-105,43,253,0.16996047430830039,241,55
157,npp-3,col-84,4,222,0.018018018018018018,222,4
158,pld-1,txt-9,0,317,0.0,317,0
159,scc-2,cat-2,0,3,0.0,0,3
160,rpt-4,nfyc-1,286,392,0.7295918367346939,301,377
161,unc-52,hhat-1,55,210,0.2619047619047619,151,114
162,dph-2,bli-1,0,117,0.0,117,0
163,dph-2,col-39,8,122,0.06557377049180328,117,13
164,dph-2,col-79,1,117,0.008547008547008548,117,1
165,dph-2,col-80,4,118,0.03389830508474576,117,5
166,stg-1,C18D1.2,5,48,0.10416666666666667,36,17
167,sftd-3,cal-2,67,322,0.2080745341614907,303,86
168,rict-1,pqn-32,23,151,0.152317880794702,102,72
169,F35C11.2,F35C11.3,1,8,0.125,6,3
170,dhgd-1,dnj-13,0,343,0.0,0,343
171,dhgd-1,F54D5.7,0,294,0.0,0,294
172,T05C12.11,T05C12.15,20,41,0.4878048780487805,34,27
173,T13H5.1,M05D6.9,12,124,0.0967741935483871,119,17
174,T23G7.2,dpl-1,184,321,0.573208722741433,291,214
175,cacn-1,K09E4.1,0,320,0.0,320,0
176,set-24,Y43F11A.4,0,18,0.0,18,0
177,tric-1B.1,Y57A10A.26,67,263,0.25475285171102663,107,223
178,vps-15,ZK930.7,1,293,0.0034129692832764505,293,1
179,clpp-1,mdt-22,236,384,0.6145833333333334,241,379
180,C25H3.11,flp-27,23,194,0.11855670103092783,57,160
181,C32D5.8,txt-18,0,381,0.0,381,0
182,epg-5,vps-33.2,9,230,0.0391304347826087,10,229
183,F10G7.10,F41C3.8,52,300,0.17333333333333334,290,62
184,nep-12,F26G1.11,22,112,0.19642857142857142,91,43
185,agr-1,nlp-50,71,279,0.25448028673835127,259,91
186,agr-1,F41G3.18,50,281,0.17793594306049823,259,72
187,K02F6.7,K02F6.5,0,7,0.0,6,1
188,K02F6.7,K02F6.6,0,6,0.0,6,0
189,K10B4.3,srt-54,1,165,0.006060606060606061,164,2
190,tat-4,T24H7.8,25,150,0.16666666666666666,142,33
191,del-10,T28D9.4,5,43,0.11627906976744186,32,16
192,del-10,T28D9.16,0,32,0.0,32,0
193,Y51H7C.12,scl-17,0,59,0.0,59,0
194,Y59C2A.2,C33C12.1,0,11,0.0,11,0
195,gtap-1,col-74,0,93,0.0,0,93
196,C01B9.4,C01B9.1,0,11,0.0,0,11
197,byn-1,F57B9.8,28,341,0.08211143695014662,339,30
198,cku-70,Y47D3A.31,0,164,0.0,164,0
199,cup-5,R13A5.15,2,178,0.011235955056179775,171,9
200,eat-4,ZK512.7,0,19,0.0,18,1
201,gop-3,C34E10.9,1,354,0.002824858757062147,354,1
202,mcm-6,srxa-10,3,175,0.017142857142857144,175,3
203,ncl-1,ZK112.4,0,325,0.0,325,0
204,ncr-2,col-91,3,16,0.1875,5,14
205,rgr-1,nlp-48,51,317,0.1608832807570978,297,71
206,sma-2,tomm-70,0,90,0.0,90,0
207,tkr-1,C38C10.3,1,14,0.07142857142857142,14,1
208,trp-2,R06B10.7,0,36,0.0,36,0
209,zfp-1,F54F2.6,0,383,0.0,383,0
210,cbp-3,F40F12.3,0,1,0.0,0,1
211,M03C11.3,hat-1,93,200,0.465,150,143
212,cisd-3.1,M88.3,12,217,0.055299539170506916,211,18
213,dhc-4,col-92,1,18,0.05555555555555555,17,2
214,dhc-4,col-93,2,35,0.05714285714285714,17,20
215,dhc-4,col-94,1,22,0.045454545454545456,17,6
216,ZC84.7,cls-3,45,227,0.19823788546255505,69,203
217,lgc-37,BE10.1,0,5,0.0,4,1
218,famh-136,ZK637.14,0,396,0.0,0,396
219,prp-40,mrps-23,0,254,0.0,0,254
220,ggtb-1,B0280.17,7,351,0.019943019943019943,351,7
221,cwf-19L2,B0361.9,0,87,0.0,0,87
222,cwf-19L2,B0361.14,0,0,0,0,0
223,elf-1,sel-15,0,113,0.0,113,0
224,pals-24,C29F9.12,4,31,0.12903225806451613,22,13
225,yju-2,F37C12.14,0,5,0.0,0,5
226,K02D10.1,K02D10.2,2,373,0.005361930294906166,373,2
227,K02D10.1,K02D10.3,85,373,0.22788203753351208,373,85
228,K04C2.2,K04C2.5,21,202,0.10396039603960396,202,21
229,osg-1,R02F2.8,1,66,0.015151515151515152,65,2
230,cdh-1,R10F2.4,4,136,0.029411764705882353,122,18
231,cdh-1,R10F2.5,0,122,0.0,122,0
232,amdh-1,srg-1,0,2,0.0,0,2
233,amdh-1,srg-2,0,1,0.0,0,1
234,amdh-1,srg-3,0,1,0.0,0,1
235,amdh-1,srg-4,0,1,0.0,0,1
236,amdh-1,srg-5,0,19,0.0,0,19
237,amdh-1,srg-6,0,3,0.0,0,3
238,amdh-1,srg-7,0,33,0.0,0,33
239,amdh-1,srg-8,0,0,0,0,0
240,amdh-1,srg-9,0,6,0.0,0,6
241,Y22D7AL.4,Y22D7AL.11,3,36,0.08333333333333333,33,6
242,Y50D7A.1,ads-1,33,168,0.19642857142857142,44,157
243,nhr-239,Y54F10AM.11,1,27,0.037037037037037035,24,4
244,cdh-12,eak-3,1,70,0.014285714285714285,65,6
245,acsd-1,lgc-46,8,79,0.10126582278481013,58,29
246,cox-6B,laf-1,0,270,0.0,0,270
247,cox-6B,tmem-132,0,0,0,0,0
248,cox-6B,Y71H2AM.11,0,203,0.0,0,203
249,cox-6B,Y71H2AM.12,0,9,0.0,0,9
250,cox-6B,cest-25,0,0,0,0,0
251,cox-6B,Y71H2AM.14,0,20,0.0,0,20
252,cox-6B,gldi-9,0,0,0,0,0
253,cox-6B,pho-9,0,31,0.0,0,31
254,cox-6B,swsn-3,0,276,0.0,0,276
255,cox-6B,Y71H2AM.20,0,304,0.0,0,304
256,Y82E9BR.5,pals-20,0,13,0.0,13,0
257,fbxa-208,fbxa-78,0,4,0.0,0,4
258,F42A10.9,efk-1,23,230,0.1,24,229
259,T24C4.8,T24C4.4,15,44,0.3409090909090909,27,32
260,F40G9.17,W10C4.1,7,86,0.08139534883720931,43,50
261,T16G12.12,T16G12.10,2,19,0.10526315789473684,18,3
262,R02F2.10,R02F2.6,0,0,0,0,0
263,apb-1,gpa-17,93,378,0.24603174603174602,376,95
264,dpy-19,F22B7.1,15,165,0.09090909090909091,164,16
265,dyf-2,sid-2,3,105,0.02857142857142857,94,14
266,emb-30,F54C8.1,0,343,0.0,343,0
267,isw-1,F37A4.6,13,273,0.047619047619047616,271,15
